,Latitude,Longitude,X,Y,Restaurants_nearby,closest_punjabi_restro
0,28.62072817163427,77.21004044785074,7114096.987048123,5497977.560603066,0,1040.0531202060452
1,28.62034414756879,77.21051552759901,7114196.987048123,5497977.560603066,0,1115.9717352425723
2,28.619960126447623,77.2109905980559,7114296.987048123,5497977.560603066,0,1120.2742015859653
3,28.619576108270888,77.21146565922153,7114396.987048123,5497977.560603066,0,1036.9533269011922
4,28.61919209303862,77.21194071109618,7114496.987048123,5497977.560603066,1,956.8333802725684
5,28.618808080750938,77.21241575368002,7114596.987048123,5497977.560603066,1,880.7883020545903
6,28.620899191425302,77.21065490298531,7114146.987048123,5498064.163143445,0,1023.305031024314
7,28.62051516307335,77.21112997380524,7114246.987048123,5498064.163143445,0,1104.9142987262223
8,28.620131137665854,77.21160503533385,7114346.987048123,5498064.163143445,0,1032.9326267843473
9,28.61974711520289,77.21208008757131,7114446.987048123,5498064.163143445,0,947.2104976761977
10,28.619363095684545,77.21255513051786,7114546.987048123,5498064.163143445,1,864.5609535136138
11,28.618979079110893,77.21303016417372,7114646.987048123,5498064.163143445,1,785.9539158072486
12,28.618595065482015,77.2135051885391,7114746.987048123,5498064.163143445,1,712.7281902697032
13,28.618211054798,77.21398020361421,7114846.987048123,5498064.163143445,1,646.7143021748514
14,28.621454237235778,77.21079428730005,7114096.987048123,5498150.765683823,0,932.1552763241925
15,28.621070201653,77.21126935848297,7114196.987048123,5498150.765683823,0,1016.1672501065065
16,28.620686169014725,77.21174442037443,7114296.987048123,5498150.765683823,0,1038.569892101527
17,28.62030213932103,77.21221947297462,7114396.987048123,5498150.765683823,0,948.0956366380747
18,28.61991811257198,77.21269451628379,7114496.987048123,5498150.765683823,0,859.7344076193151
19,28.619534088767683,77.21316955030214,7114596.987048123,5498150.765683823,0,774.2100277553329
20,28.61915006790821,77.21364457502989,7114696.987048123,5498150.765683823,1,692.5742433192935
21,28.61876604999363,77.21411959046722,7114796.987048123,5498150.765683823,1,616.3740730608894
22,28.61838203502404,77.21459459661439,7114896.987048123,5498150.765683823,0,547.8822075720741
23,28.6179980229995,77.2150695934716,7114996.987048123,5498150.765683823,0,490.3395036160435
24,28.61761401392012,77.21554458103905,7115096.987048123,5498150.765683823,0,447.98520537938145
25,28.621625242186482,77.21140875208928,7114146.987048123,5498237.368224202,0,929.7075630801246
26,28.621241202317393,77.21188381434352,7114246.987048123,5498237.368224202,0,1018.8417805814461
27,28.62085716539292,77.21235886730638,7114346.987048123,5498237.368224202,0,959.4597154213027
28,28.620473131413156,77.21283391097806,7114446.987048123,5498237.368224202,0,866.4991984697422
29,28.620089100378188,77.21330894535879,7114546.987048123,5498237.368224202,0,775.2927036810577
30,28.619705072288077,77.21378397044879,7114646.987048123,5498237.368224202,0,686.5396505763254
31,28.619321047142915,77.21425898624828,7114746.987048123,5498237.368224202,0,601.3273711098153
32,28.61893702494278,77.21473399275746,7114846.987048123,5498237.368224202,0,521.3947858180212
33,28.61855300568775,77.21520898997653,7114946.987048123,5498237.368224202,0,449.56694508226343
34,28.618168989377907,77.21568397790577,7115046.987048123,5498237.368224202,0,390.34389138678415
35,28.61778497601334,77.21615895654531,7115146.987048123,5498237.368224202,0,350.1803377909105
36,28.617400965594115,77.21663392589544,7115246.987048123,5498237.368224202,0,335.98241681334287
37,28.622180284673714,77.2115481546244,7114096.987048123,5498323.97076458,0,846.2366250096682
38,28.621796237573783,77.21202321724131,7114196.987048123,5498323.97076458,0,937.9759306707936
39,28.621412193418507,77.21249827056673,7114296.987048123,5498323.97076458,0,944.1832706108036
40,28.62102815220799,77.21297331460084,7114396.987048123,5498323.97076458,0,874.2603844214627
41,28.6206441139423,77.21344834934389,7114496.987048123,5498323.97076458,0,789.1491530029418
42,28.62026007862153,77.21392337479608,7114596.987048123,5498323.97076458,0,694.9923029197079
43,28.619876046245746,77.21439839095761,7114696.987048123,5498323.97076458,0,602.7206787144587
44,28.619492016815034,77.21487339782871,7114796.987048123,5498323.97076458,0,513.3518598216981
45,28.61910799032948,77.21534839540959,7114896.987048123,5498323.97076458,0,428.7050820958098
46,28.61872396678915,77.21582338370048,7114996.987048123,5498323.97076458,0,352.2015940440271
47,28.618339946194144,77.2162983627016,7115096.987048123,5498323.97076458,0,290.3513014944695
48,28.61795592854453,77.21677333241311,7115196.987048123,5498323.97076458,0,254.09012911152408
49,28.61757191384039,77.2172482928353,7115296.987048123,5498323.97076458,0,254.59715069947194
50,28.6171879020818,77.21772324396831,7115396.987048123,5498323.97076458,0,288.74123669730125
51,28.62235127478377,77.21216262906805,7114146.987048123,5498410.573304959,0,861.138269488191
52,28.621967223397675,77.21263768275593,7114246.987048123,5498410.573304959,0,926.0909185337492
53,28.62158317495637,77.2131127271524,7114346.987048123,5498410.573304959,0,848.8189210062021
54,28.621199129459942,77.21358776225767,7114446.987048123,5498410.573304959,0,776.75139647482
55,28.620815086908465,77.21406278807194,7114546.987048123,5498410.573304959,0,711.4716460921214
56,28.62043104730203,77.21453780459544,7114646.987048123,5498410.573304959,0,620.4432495032878
57,28.620047010640718,77.21501281182837,7114746.987048123,5498410.573304959,0,524.6024602368708
58,28.619662976924594,77.21548780977096,7114846.987048123,5498410.573304959,0,430.6572380895929
59,28.61927894615375,77.21596279842343,7114946.987048123,5498410.573304959,0,340.18167521389944
60,28.618894918328273,77.21643777778598,7115046.987048123,5498410.573304959,1,256.8686193051102
61,28.618510893448228,77.21691274785883,7115146.987048123,5498410.573304959,4,190.36649656936032
