,Address,Latitude,Longitude,Distance_from_center
115,"Copernicus Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 020626",28.6177012740307,77.23136272871834,1918.076025290482
116,"Patiala House Court, Purana Quila Road, Chanakya Puri Tehsil, New Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110503",28.615396933426386,77.2342109601099,2291.342455181331
117,"Major Dhyan Chand National Stadium, Sher Shah Road, Cornwallis Colony, Chanakya Puri Tehsil, New Delhi, Delhi, 110503",28.61309269897897,77.23705885725062,2665.8886309581926
118,"Major Dhyan Chand National Stadium, Sher Shah Road, Cornwallis Colony, Chanakya Puri Tehsil, New Delhi, Delhi, 110503",28.61078857070585,77.23990642018693,3041.2314697246893
119,"Bank Street, 46, Karol Bagh, Karol Bagh Tehsil, Central Delhi, Delhi, 110005",28.648693667886953,77.19799531577426,2836.20054768402
120,"Jhandewalan, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.6463877943692,77.20084757494621,2457.9506769213613
121,"Multani Dhanda, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.644082026809105,77.20369949928138,2079.7284375121435
122,"Aram Bagh, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.641776365224086,77.20655108882642,1701.5338287563277
123,"Ramakrishna Mission, Ramakrishna Ashram Marg, DIZ Area, Chanakya Puri Tehsil, New Delhi, Delhi, 110055",28.639470809631636,77.2094023436278,1323.3668499699916
124,"Panchkuian Road, Aram Bagh, Paharganj, Chanakya Puri Tehsil, New Delhi, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.637165360049185,77.21225326373215,945.2275004532049
125,"Panchkuian Road, Connaught Place, Chanakya Puri Tehsil, New Delhi, Delhi, 110055",28.634860016494184,77.215103849186,567.1157795168641
126,"A-Block, Radial Road 3, Connaught Place, Chanakya Puri Tehsil, New Delhi, Delhi, 110001",28.63255477898407,77.21795410003587,189.03168646432673
127,"Amit Book Company, N-21, Outer Circle, Connaught Place, Chanakya Puri Tehsil, New Delhi, Delhi, 110001",28.630249647536257,77.22080401632832,189.02477939763455
128,"Dunkin' Donuts, Kasturba Gandhi Marg, Connaught Place, Chanakya Puri Tehsil, New Delhi, Delhi, 110001",28.62794462216816,77.22365359810988,567.0536187659011
129,"United States-India Educational Foundation, 12, Hailey Road, Connaught Place, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.6256397028972,77.22650284542705,945.054832332536
130,"Pandit Ravi Shankar Shukla Lane, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.623334889740754,77.22935175832637,1323.0284207946597
131,"Haryana Bhawan, Copernicus Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.62103018271624,77.23220033685435,1700.9743848491667
132,"Tilak Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 020626",28.618725581841034,77.23504858105747,2078.8927251888313
133,"Chanakya Puri Tehsil, New Delhi, Delhi, 110503",28.61642108713251,77.23789649098225,2456.7834425146725
134,"Marka Peer DARGAH, Bhairon Marg, Chanakya Puri Tehsil, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110503",28.614116698608033,77.24074406667516,2834.6465375204198
135,"Joshi Lane, 57, Karol Bagh, Karol Bagh Tehsil, Central Delhi, Delhi, 110005",28.652025770876158,77.19883308976182,3043.011662192357
136,"Jhandewalan, Karol Bagh Tehsil, Central Delhi, Delhi, 110005",28.64971963696365,77.20168536205684,2667.2541963220506
137,"Deshbandhu Gupta Road, 58, Karol Bagh, Jhandewalan, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.64741360901851,77.20453729948751,2292.3486426865966
138,"Nutan Marathi HS School, Deshbandhu Gupta Road, Multani Dhanda, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.645107687058207,77.20738890210043,1918.7780802672878
139,"Aram Bagh, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.642801871100193,77.21024016994214,1547.4893567030422
140,"Bhumi spices shop, Ramdwara Road, Aram Bagh, Paharganj, Chanakya Puri Tehsil, New Delhi, Karol Bagh Tehsil, Central Delhi, Delhi, 110055",28.640496161161916,77.21309110305923,1180.6106750009997
141,"Karnail Singh Stadium, Basant Lane, Connaught Place, Chanakya Puri Tehsil, New Delhi, Delhi, 110055",28.63819055726083,77.21594170149822,824.0154133146435
142,"Chelmsford Road, Paharganj, Chanakya Puri Tehsil, New Delhi, Karol Bagh Tehsil, Central Delhi, Delhi, 8572",28.635885059414363,77.21879196530574,500.14011210812527
143,"Vodafone, Radial Road 6, D-Block, Chanakya Puri Tehsil, New Delhi, Delhi, 110001",28.633579667639953,77.22164189452826,327.40659732029627
